x,y,z
53.0,9.4,4.77
72.60000000000001,24.6,1.356
7.0,41.2,0.0
53.0,10.2,5.213
72.60000000000001,25.200000000000003,1.385
7.0,41.8,0.0
53.0,10.8,5.457
72.60000000000001,26.0,1.309
7.0,42.6,0.0
53.0,11.6,5.894
72.60000000000001,26.8,0.632
7.0,43.400000000000006,0.0
53.0,12.2,6.218
72.60000000000001,27.4,1.15
7.0,44.0,0.0
53.0,13.0,6.627
72.60000000000001,28.200000000000003,0.436
7.0,44.8,0.0
53.0,13.8,7.012
72.60000000000001,28.8,0.559
7.0,45.400000000000006,0.0
53.0,14.4,7.395
72.60000000000001,29.6,0.724
7.0,46.2,0.0
33.4,0.0,0.0
53.0,15.2,7.789
71.60000000000001,41.8,0.148
7.0,47.0,0.0
33.4,0.8,0.349
53.0,15.8,8.024
7.0,47.6,0.0
33.4,1.4,0.746
53.0,16.6,8.466
72.60000000000001,30.4,0.867
7.0,48.400000000000006,0.0
33.4,2.2,1.272
53.0,17.400000000000002,8.877
7.0,49.0,0.0
33.4,2.8000000000000003,1.672
53.0,18.0,9.168
72.60000000000001,31.8,0.833
7.0,49.8,0.0
33.4,3.6,2.209
53.0,18.8,9.634
72.60000000000001,33.2,0.606
53.0,19.4,9.446
33.4,4.4,2.846
72.60000000000001,34.0,0.809
72.60000000000001,34.6,0.749
33.4,5.0,3.206
53.0,20.200000000000003,9.132
72.60000000000001,35.4,0.639
72.60000000000001,36.0,0.712
33.4,5.800000000000001,3.768
53.0,21.0,9.116
33.4,6.4,4.158
53.0,21.6,9.217
72.60000000000001,36.8,0.427
33.4,7.2,4.626
53.0,22.4,9.224
72.60000000000001,37.6,0.067
53.0,23.0,9.151
33.4,8.0,5.217
72.60000000000001,38.2,0.125
33.4,8.6,5.611
53.0,23.8,8.883
72.60000000000001,39.0,0.092
72.60000000000001,39.6,0.096
33.4,9.4,6.085
53.0,24.6,9.085
53.0,25.200000000000003,9.15
33.4,10.2,6.583
72.60000000000001,40.400000000000006,0.088
33.4,10.8,7.025
53.0,26.0,8.86
71.60000000000001,44.0,0.0
72.60000000000001,41.2,0.0
33.4,11.6,7.526
53.0,26.8,8.589
72.60000000000001,41.8,0.086
33.4,12.2,7.906
53.0,27.4,8.579
72.60000000000001,42.6,0.081
33.4,13.0,8.481
53.0,28.200000000000003,8.693
72.60000000000001,43.400000000000006,0.0
53.0,28.8,8.49
33.4,13.8,8.976
72.60000000000001,44.0,0.0
33.4,14.4,9.416
53.0,29.6,8.039
72.60000000000001,44.8,0.0
72.60000000000001,45.400000000000006,0.0
13.8,0.0,0.0
33.4,15.2,9.611
53.0,30.4,7.631
33.4,15.8,9.709
13.8,0.8,0.385
53.0,31.0,7.201
72.60000000000001,46.2,0.0
13.8,1.4,0.784
33.4,16.6,9.898
53.0,31.8,6.443
53.0,32.4,6.033
13.8,2.2,1.197
33.4,17.400000000000002,9.519
72.60000000000001,47.0,0.0
13.8,2.8000000000000003,1.592
33.4,18.0,9.046
53.0,33.2,5.431
72.60000000000001,47.6,0.0
13.8,3.6,2.203
33.4,18.8,8.868
53.0,34.0,4.667
33.4,19.4,8.887
13.8,4.4,2.668
53.0,34.6,3.815
72.60000000000001,49.0,0.0
13.8,5.0,2.982
33.4,20.200000000000003,8.777
53.0,35.4,3.292
53.0,36.0,2.819
13.8,5.800000000000001,3.471
33.4,21.0,8.793
13.8,6.4,3.874
33.4,21.6,9.098
53.0,36.8,2.256
13.8,7.2,4.454
33.4,22.4,9.17
53.0,37.6,1.813
33.4,23.0,8.731
13.8,8.0,4.909
53.0,38.2,1.315
13.8,8.6,5.299
33.4,23.8,8.809
53.0,39.0,0.678
53.0,39.6,0.067
13.8,9.4,5.479
33.4,24.6,8.879
33.4,25.200000000000003,8.907
13.8,10.2,5.274
53.0,40.400000000000006,0.0
13.8,10.8,5.279
33.4,26.0,8.627
53.0,41.2,0.0
53.0,41.8,0.0
13.8,11.6,5.239
33.4,26.8,8.57
13.8,12.2,5.133
33.4,27.4,8.624
53.0,42.6,0.0
13.8,13.0,4.986
33.4,28.200000000000003,8.897
53.0,43.400000000000006,0.0
33.4,28.8,8.679
13.8,13.8,5.039
53.0,44.0,0.0
13.8,14.4,5.12
33.4,29.6,7.926
53.0,44.8,0.0
53.0,45.400000000000006,0.0
13.8,15.2,5.169
33.4,30.4,7.567
13.8,15.8,5.066
33.4,31.0,7.157
53.0,46.2,0.0
13.8,16.6,4.791
33.4,31.8,6.641
53.0,47.0,0.0
33.4,32.4,6.202
13.8,17.400000000000002,4.743
53.0,47.6,0.0
13.8,18.0,4.735
33.4,33.2,5.674
53.0,48.400000000000006,0.0
53.0,49.0,0.0
13.8,18.8,4.587
33.4,34.0,4.931
13.8,19.4,4.704
33.4,34.6,4.578
53.0,49.8,0.0
13.8,20.200000000000003,4.877
33.4,35.4,3.899
33.4,36.0,3.459
13.8,21.0,4.905
13.8,21.6,4.859
33.4,36.8,2.778
13.8,22.4,4.793
33.4,37.6,2.045
13.8,23.0,4.638
33.4,38.2,1.584
13.8,23.8,4.359
33.4,39.0,0.932
33.4,39.6,0.677
13.8,24.6,4.453
13.8,25.200000000000003,4.493
33.4,40.400000000000006,0.007
13.8,26.0,4.609
33.4,41.2,0.0
33.4,41.8,0.0
13.8,26.8,4.307
13.8,27.4,4.302
33.4,42.6,0.0
13.8,28.200000000000003,4.553
33.4,43.400000000000006,0.0
13.8,28.8,4.69
33.4,44.0,0.0
13.8,29.6,4.646
33.4,44.8,0.0
33.4,45.400000000000006,0.0
13.8,30.4,4.357
13.8,31.0,4.122
33.4,46.2,0.0
13.8,31.8,3.819
33.4,47.0,0.0
13.8,32.4,3.686
33.4,47.6,0.0
13.8,33.2,3.455
33.4,48.400000000000006,0.0
33.4,49.0,0.0
13.8,34.0,3.319
13.8,34.6,3.201
33.4,49.8,0.0
13.8,35.4,2.955
13.8,36.0,2.629
13.8,36.8,2.218
13.8,37.6,1.721
13.8,38.2,1.319
13.8,39.0,0.749
13.8,39.6,0.373
13.8,40.400000000000006,0.139
13.8,41.2,0.0
13.8,41.8,0.0
13.8,42.6,0.087
13.8,43.400000000000006,0.076
61.2,48.400000000000006,0.0
13.8,44.0,0.0
13.8,44.8,0.102
13.8,45.400000000000006,0.073
13.8,46.2,0.0
13.8,47.0,0.082
13.8,47.6,0.0
13.8,48.400000000000006,0.0
13.8,49.0,0.0
13.8,49.8,0.0
61.2,49.8,0.0
79.60000000000001,0.0,0.0
79.60000000000001,0.8,0.0
79.60000000000001,1.4,0.0
79.60000000000001,2.2,0.0
79.60000000000001,2.8000000000000003,0.0
79.60000000000001,3.6,0.0
79.60000000000001,4.4,0.0
79.60000000000001,5.0,0.0
79.60000000000001,5.800000000000001,0.0
79.60000000000001,6.4,0.0
79.60000000000001,7.2,0.0
79.60000000000001,8.0,0.0
79.60000000000001,8.6,0.0
79.60000000000001,9.4,0.0
79.60000000000001,10.2,0.0
79.60000000000001,10.8,0.0
79.60000000000001,11.6,0.0
79.60000000000001,12.2,0.0
79.60000000000001,13.0,0.0
79.60000000000001,13.8,0.0
79.60000000000001,14.4,0.0
60.0,0.0,0.0
79.60000000000001,15.2,0.0
79.60000000000001,15.8,0.0
60.0,0.8,0.455
60.0,1.4,0.856
79.60000000000001,16.6,0.0
60.0,2.2,1.28
79.60000000000001,17.400000000000002,0.0
60.0,2.8000000000000003,1.683
79.60000000000001,18.0,0.0
60.0,3.6,2.343
79.60000000000001,18.8,0.0
79.60000000000001,19.4,0.0
60.0,4.4,2.794
60.0,5.0,3.214
79.60000000000001,20.200000000000003,0.0
60.0,5.800000000000001,3.7
79.60000000000001,21.0,0.0
60.0,6.4,4.178
79.60000000000001,21.6,0.0
60.0,7.2,4.762
79.60000000000001,22.4,0.0
79.60000000000001,23.0,0.0
60.0,8.0,5.253
60.0,8.6,5.674
79.60000000000001,23.8,0.0
60.0,9.4,6.235
79.60000000000001,24.6,0.0
79.60000000000001,25.200000000000003,0.0
60.0,10.2,6.741
60.0,10.8,7.146
79.60000000000001,26.0,0.0
60.0,11.6,7.699
79.60000000000001,26.8,0.0
60.0,12.2,8.008
79.60000000000001,27.4,0.0
60.0,13.0,8.622
79.60000000000001,28.200000000000003,0.0
79.60000000000001,28.8,0.0
60.0,13.8,8.951
60.0,14.4,9.133
79.60000000000001,29.6,0.0
40.400000000000006,0.0,0.0
60.0,15.2,9.208
79.60000000000001,30.4,0.0
60.0,15.8,9.288
40.400000000000006,0.8,0.365
79.60000000000001,31.0,0.0
40.400000000000006,1.4,0.642
60.0,16.6,9.216
79.60000000000001,31.8,0.0
79.60000000000001,32.4,0.0
40.400000000000006,2.2,1.135
60.0,17.400000000000002,9.202
40.400000000000006,2.8000000000000003,1.384
60.0,18.0,9.236
79.60000000000001,33.2,0.0
40.400000000000006,3.6,1.839
60.0,18.8,9.198
79.60000000000001,34.0,0.0
60.0,19.4,9.085
40.400000000000006,4.4,2.325
79.60000000000001,34.6,0.0
40.400000000000006,5.0,2.599
60.0,20.200000000000003,9.077
79.60000000000001,35.4,0.0
79.60000000000001,36.0,0.0
40.400000000000006,5.800000000000001,3.083
60.0,21.0,9.245
40.400000000000006,6.4,3.413
